partyid	lifetime_party_revenue
54523525	107.8
66076085	2.95
46007414	2.95
40407931	0
88677171	2.95
71790392	41.75
60045560	3.95
18035794	4.95
32536308	4.95
21131936	39.9
63100479	81.55
53701903	38.9
47349240	2.95
85536745	2.95
53809460	2.95
44436438	3.95
86475854	2.95
82981554	1.95
47011455	2.95
52113920	44.7
64125910	80.74
52121698	2.95
65981502	40.75
61436723	1.95
41928466	3.95
31003125	4.95
35846938	2.95
44006345	2.95
73579300	1.95
9225549	4.95
57173185	3.95
41122790	2.95
65210618	1.95
52623886	2.95
24691727	4.95
83079063	41.75
53786465	108.8
59207843	41.75
48063956	2.95
27046279	39.9
63514665	2.95
60557323	1.95
31171379	39.9
80574485	1.95
42940004	2.95
35637758	4.95
21425086	11.94
32491438	74.85
44299404	3.95
56094205	42.75
52743357	2.95
84691320	1.95
7677494	494.25
87507839	1.95
85403617	1.95
41372879	49.9
21179663	4.95
53039468	2.95
32985952	43.85
82592594	41.75
42885566	2.95
63073212	1.95
40628252	283.55
36029905	41.03
32422592	4.95
56045030	2.95
73349045	1.95
59091948	108.8
47457858	2.95
25089532	179.7
62223353	1.95
78050126	146.15
61506537	38.9
4528343	41.75
58649074	1.95
47985612	37.9
87848774	2.95
26881006	4.95
41910876	2.95
56459359	37.9
27581314	39.9
37106476	9.94
53710827	107.8
73859465	1.95
28830726	4.95
32809193	4.95
74291316	41.75
51496367	2.95
76834156	1.95
47948249	2.95
45818881	19.95
71932701	2.95
33819471	4.95
45187362	2.95
85988041	1.95
50953825	6.9
16842258	37.9
85132503	2.95
28943964	74.85
43629510	2.95
46034464	2.95
40966323	3.95
26179310	1.95
23194946	4.95
25168833	108.8
37092912	38.9
45759819	80.65
62888762	2.95
54614935	2.95
74640983	1.95
75831159	1.95
81781578	1.95
34011769	4.95
65231767	0.95
25788863	4.95
76683620	1.95
61588520	3.95
40442269	2.95
68388277	74.55
54648991	2.95
41115569	3.95
43546932	3.95
20178960	39.9
6904511	2.95
48404728	38.75
62606376	1.95
62775935	35.95
30822256	4.95
76957160	1.95
65430987	0.95
86261074	1.95
12170545	2.95
80644602	1.95
73865119	41.75
46899388	37.9
70423374	1.95
35747094	5.08
50574196	3.95
62769730	1.95
86785341	2.95
83155858	2.95
39586979	2.95
47433581	2.95
76849949	41.75
36494193	213.65
41384074	3.95
51831786	5.9
21456852	109.8
30592747	2.95
52771828	1.95
36920183	73.85
25049421	2.95
77884903	38.75
57033057	1.95
20948435	4.95
32556119	4.95
66470098	2.95
30205928	3.95
59855589	1.95
63637949	1.95
20407174	4.95
19269828	44.85
42422568	72.85
52007512	3.95
40461184	3.95
38806334	2.95
24892179	4.95
44516677	38.9
19833524	74.85
55462299	38.9
87029690	1.95
85723555	2.95
68059215	1.95
49077067	2.95
27604149	4.95
34168789	3.95
38266374	3.95
68135445	1.95
61172567	3.95
60398428	0
34117779	4.95
45156608	2.95
32056818	4.95
82193205	3.9
66747007	41.75
57254187	2.95
43774130	3.95
49673806	3.95
24701236	1.95
66986165	240.75
81964076	2.95
40348705	73.85
57233685	73.85
59464184	1.95
31627517	4.95
24323598	4.95
54639324	2.95
43508557	2.95
72507389	1.95
13370356	284.55
70343982	2.95
74950400	1.95
50134138	2.95
64725590	1.95
39480864	2.95
40975833	107.8
40658280	2.95
79966995	1.95
41827166	110.75
62745454	110.35
29137196	4.95
25449621	4.95
23687322	39.9
51626577	2.95
52706259	107.8
86572635	1.95
42316790	154.75
44526543	2.95
57213393	2.95
66405242	41.75
73543446	2.95
78070338	2.95
29712387	529.2
41857384	3.95
57775354	1.95
30454728	2.95
80951137	1.95
28249453	4.95
44502847	3.95
