"ltv","gender","max_cover","count_cover","count_res","av_res","visits","portal","cardtype","experiencelevel","careerfield"
72.85,"Blank",2885,2,2,1061,10,"3","Visa","Entry Level","Business"
107.8,"Blank",1616,1,1,5944,2,"3","Visa","Experienced","Nursing"
2.95,"Blank",1659,1,3,4750,10,"16","Visa","Experienced","Education and Training"
634.05,"Blank",2457,3,8,1531,10,"4","Visa","Experienced","Education and Training"
1,"Blank",2861,1,3,2157,7,"14","Visa","Experienced","Nursing"
104.85,"Blank",2208,23,116,4152,34,"3","American Express","Experienced","Retail"
48.7,"Blank",2473,5,8,2751,6,"11","Visa","Experienced","Skilled Trades"
14.95,"Blank",1050,1,1,1864,5,"3","Visa","Student","Food and Beverage"
43.7,"Blank",2205,3,4,2603,1,"3","Visa","Experienced","Retail"
69.9,"F",2184,7,6,3678,1,"3","Mastercard","Experienced","Healthcare"
72.85,"F",2263,2,6,1252,20,"3","Visa","Experienced","Dental"
282.55,"Blank",1904,1,5,1081,13,"3","Visa","Manager","Management"
3.95,"Blank",3138,1,6,548,2,"20","Mastercard","Experienced","Accounting and Finance"
1.95,"Blank",2124,2,4,2388,2,"3","Visa","Experienced","Retail"
41.75,"Blank",1307,1,5,589,1,"3","Visa","Manager","Sales"
5.9,"Blank",943,1,3,2227,10,"3","Visa","Experienced","Healthcare"
6.9,"Blank",2049,2,11,1032,7,"3","Visa","Entry Level","Administrative Support"
0.95,"Blank",2186,1,7,1583,5,"3","Visa","Experienced","Customer Service"
2.95,"Blank",1155,1,2,2033,2,"3","Visa","Experienced","Retail"
69.9,"Blank",2167,3,10,3365,4,"3","Visa","Manager","Management"
2.95,"Blank",2762,2,6,2720,7,"10","Discover","Experienced","Healthcare"
289.35,"Blank",5813,3,3,3653,15,"3","Mastercard","Experienced","Healthcare"
295.4,"Blank",1649,1,9,6819,21,"3","Mastercard","Manager","Management"
1.95,"Blank",1600,2,3,1661,3,"3","Visa","Experienced","Law Enforcement and Security"
181.95,"Blank",1804,1,1,1937,2,"9","Visa","Experienced","Library"
200.95,"Blank",2393,5,4,2112,6,"3","Discover","Manager","Law Enforcement and Security"
40.7,"Blank",3251,5,22,2017,2,"3","Mastercard","Experienced","Manufacturing and Production"
38.75,"Blank",1372,1,3,2631,1,"16","Mastercard","Entry Level","Administrative Support"
81.55,"M",2184,6,3,1029,11,"3","American Express","Executive","Business"
3.95,"Blank",1602,2,3,1792,1,"3","Visa","Student","Food and Beverage"
1.95,"Blank",1348,1,3,1645,3,"3","Mastercard","Entry Level","Engineering"
2.95,"Blank",2197,3,7,2247,26,"16","Visa","Entry Level","Healthcare"
95.4,"Blank",3218,3,1,2577,7,"8","Visa","Experienced","Banking and Financial Services"
40.85,"F",1636,3,7,2777,4,"3","Visa","Student","Business"
1.95,"Blank",1735,2,4,1224,4,"3","(null)","Experienced","Education and Training"
2.95,"F",2182,15,2,2825,8,"3","Visa","Entry Level","Healthcare"
1.95,"Blank",1329,1,1,2455,5,"3","Visa","Student","Sports"
174.75,"Blank",1543,2,5,2624,12,"3","Mastercard","Entry Level","Nursing"
