partyid,ltv,gender,expirydate,resumecount,maxchar,avchar
6764572,37.9,F,7/1/2014 22:35,10,4460,2689
45533725,37.9,F,6/28/2013 4:37,1,6353,2688
40545397,2.95,F,2/22/2013 18:19,6,8339,1985
78679383,7.75,M,10/1/2014 1:25,2,5843,3197
52327278,1.95,F,2/3/2014 7:50,8,1112,414
56611763,2.95,F,11/16/2013 13:06,7,1557,556
10534127,2.95,M,6/16/2014 15:28,2,2603,2256
13503700,703.95,F,4/6/2015 23:27,3,2736,1262
52959804,181.95,F,2/12/2014 5:59,1,1998,1736
49278541,2.95,M,7/30/2013 10:43,4,9988,5891
11795840,1.95,F,3/17/2014 10:05,2,2556,1283
29306598,9.85,M,9/9/2014 12:31,1,2615,1348
57999594,1.95,F,11/23/2014 15:15,2,7078,3766
51330900,2.95,F,9/1/2013 22:29,3,3069,2041
48849176,2.95,F,8/23/2013 14:04,2,3083,2933
56165779,42.75,F,12/7/2013 19:32,1,2143,2143
39836959,2.95,M,2/17/2013 5:18,2,8397,4204
63737327,37.9,F,11/24/2014 14:45,1,4779,1473
11161165,2.95,F,3/23/2013 16:16,6,6770,2723
47094226,2.95,M,8/12/2013 7:42,4,4725,1522
38525671,2.95,F,6/6/2013 0:00,3,7046,2507
2047133,2.95,F,2/13/2015 23:38,1,3637,3178
22368422,112.75,F,7/9/2014 16:01,6,6727,1625
39451788,2.95,F,2/5/2013 13:00,1,7105,7105
10986507,2.95,M,3/23/2013 21:05,2,1808,904
20443486,808.8,M,4/4/2014 4:26,6,4619,1825
71624944,161.15,M,10/6/2014 14:59,1,4261,3296
65072731,121.35,F,7/21/2014 18:06,1,3509,3509
74845211,1.95,M,8/4/2014 4:20,1,3209,3209
42764992,2.95,F,4/1/2013 11:48,1,6573,3152
48941548,2.95,F,8/4/2013 20:31,3,3545,1466
21501099,5.9,M,11/29/2013 16:29,2,4345,3279
73365733,146.15,F,10/30/2014 21:49,8,3317,2279
31480330,2.95,M,2/18/2014 11:18,1,4040,1977
32001595,74.85,M,2/13/2014 0:15,1,4124,2882
72562249,1.95,F,8/5/2014 18:00,2,1823,1684
27119510,119.75,F,4/26/2013 12:38,6,8359,3795
42826552,2.95,F,4/5/2013 20:04,1,1846,1289
53568091,2.95,F,10/3/2013 15:44,2,2671,1392
56020240,37.9,M,12/7/2013 14:08,1,2325,2053
47025064,2.95,M,6/20/2013 19:53,2,724,402
17770818,564.15,F,3/24/2013 11:25,3,1939,1462
